instance,jsonfile,car_2,car_3,v_size,h_size,mag_nodes,mag_edges,path_length,num_sccs,max_scc_size,avg_bf,avg_location_size
prb54081,../psiturk-rushhour/static/json/1509606178_29_prb54081_11_.json,6,3,4,5,9,13,11,1,4,1.3,2.77777777778
prb29232,../psiturk-rushhour/static/json/1513867973_45_prb29232_7_.json,6,3,5,4,6,6,7,0,1,0.857142857143,2.0
prb78361,../psiturk-rushhour/static/json/1509722874_99_prb78361_16_.json,6,3,4,5,9,11,16,1,5,1.1,2.22222222222
prb1707,../psiturk-rushhour/static/json/1513820498_74_prb1707_7_.json,6,3,4,5,9,13,7,1,4,1.3,2.77777777778
prb65535,../psiturk-rushhour/static/json/1509653121_81_prb65535_14_.json,6,3,3,6,6,7,14,0,1,1.0,2.0
prb29027,../psiturk-rushhour/static/json/1509546793_06_prb29027_16_.json,6,3,3,6,9,15,16,1,6,1.5,2.55555555556
prb343,../psiturk-rushhour/static/json/1509419634_45_prb343_14_.json,6,3,4,5,9,12,14,1,4,1.2,2.55555555556
prb14898,../psiturk-rushhour/static/json/1509473159_82_prb14898_11_.json,6,3,6,3,8,11,11,1,4,1.1,2.625
prb38725,../psiturk-rushhour/static/json/1509567550_91_prb38725_14_.json,6,3,4,5,7,9,14,1,4,1.125,2.57142857143
prb48146,../psiturk-rushhour/static/json/1509587761_38_prb48146_16_.json,6,3,5,4,8,11,16,1,4,1.1,2.625
prb72800,../psiturk-rushhour/static/json/1509682764_39_prb72800_14_.json,6,3,4,5,8,8,14,0,1,0.888888888889,2.125
prb3217,../psiturk-rushhour/static/json/1509424444_59_prb3217_11_.json,6,3,4,5,9,12,11,1,4,1.2,2.55555555556
prb32795,../psiturk-rushhour/static/json/1513869514_34_prb32795_7_.json,6,3,4,5,6,7,7,1,4,1.0,2.66666666667
prb20059,../psiturk-rushhour/static/json/1513854869_31_prb20059_7_.json,6,3,4,5,6,6,7,0,1,0.857142857143,1.66666666667
prb25604,../psiturk-rushhour/static/json/1509502982_46_prb25604_16_.json,6,3,6,3,8,11,16,1,4,1.22222222222,2.75
prb12715,../psiturk-rushhour/static/json/1509469458_44_prb12715_11_.json,6,3,4,5,7,7,11,0,1,0.875,1.85714285714
prb26567,../psiturk-rushhour/static/json/1513866786_91_prb26567_7_.json,6,3,5,4,6,8,7,1,4,1.0,2.5
prb23404,../psiturk-rushhour/static/json/1509493367_95_prb23404_14_.json,6,3,6,3,6,6,14,0,1,0.857142857143,1.66666666667
prb22436,../psiturk-rushhour/static/json/1509491261_94_prb22436_11_.json,6,3,5,4,6,6,11,0,1,0.857142857143,2.0
prb58853,../psiturk-rushhour/static/json/1509637056_7_prb58853_16_.json,6,3,5,4,4,5,16,0,1,1.0,1.75
prb38526,../psiturk-rushhour/static/json/1509566883_54_prb38526_11_.json,6,3,5,4,9,12,11,1,5,1.2,2.33333333333
prb1267,../psiturk-rushhour/static/json/1509420986_61_prb1267_16_.json,6,3,4,5,9,13,16,1,6,1.3,2.55555555556
prb29414,../psiturk-rushhour/static/json/1509547223_69_prb29414_11_.json,6,3,3,6,7,9,11,1,5,1.125,2.57142857143
prb54506,../psiturk-rushhour/static/json/1509609106_11_prb54506_16_.json,6,3,6,3,8,9,16,1,4,1.0,2.375
prb3203,../psiturk-rushhour/static/json/1509424438_88_prb3203_14_.json,6,3,7,2,5,6,14,0,1,1.0,2.0
prb717,../psiturk-rushhour/static/json/1509411897_18_prb717_11_.json,6,3,3,6,4,6,11,0,1,1.0,2.0
prb12604,../psiturk-rushhour/static/json/1513826908_9_prb12604_7_.json,6,3,6,3,9,13,7,1,4,1.3,2.55555555556
prb25861,../psiturk-rushhour/static/json/1509503581_83_prb25861_16_.json,6,3,5,4,9,15,16,1,6,1.5,2.88888888889
prb24227,../psiturk-rushhour/static/json/1509495640_06_prb24227_16_.json,6,3,4,5,9,16,16,1,6,1.6,2.66666666667
prb68514,../psiturk-rushhour/static/json/1509673998_59_prb68514_14_.json,6,3,4,5,5,7,14,0,1,1.16666666667,2.2
prb34092,../psiturk-rushhour/static/json/1509556026_72_prb34092_11_.json,6,3,4,5,8,11,11,1,5,1.22222222222,2.875
prb45893,../psiturk-rushhour/static/json/1509584113_26_prb45893_16_.json,6,3,5,4,7,10,16,1,5,1.25,2.28571428571
prb33509,../psiturk-rushhour/static/json/1509555087_12_prb33509_11_.json,6,3,5,4,9,10,11,1,4,1.0,2.33333333333
prb46580,../psiturk-rushhour/static/json/1509585227_74_prb46580_16_.json,6,3,5,4,8,11,16,1,4,1.22222222222,2.75
prb31907,../psiturk-rushhour/static/json/1509552512_39_prb31907_11_.json,6,3,3,6,9,12,11,1,6,1.2,2.22222222222
prb10206,../psiturk-rushhour/static/json/1513825402_91_prb10206_7_.json,6,3,5,4,6,6,7,0,1,0.857142857143,2.0
prb13171,../psiturk-rushhour/static/json/1513827210_11_prb13171_7_.json,6,3,4,5,6,7,7,0,1,0.875,2.16666666667
prb42959,../psiturk-rushhour/static/json/1509575509_8_prb42959_11_.json,6,3,4,5,8,11,11,1,6,1.22222222222,2.5
prb23259,../psiturk-rushhour/static/json/1513865343_0_prb23259_7_.json,6,3,5,4,9,14,7,1,6,1.4,3.33333333333
prb29585,../psiturk-rushhour/static/json/1509547485_18_prb29585_14_.json,6,3,5,4,9,13,14,1,6,1.3,3.11111111111
prb46639,../psiturk-rushhour/static/json/1509585277_63_prb46639_16_.json,6,3,4,5,8,11,16,1,7,1.22222222222,2.875
prb14047,../psiturk-rushhour/static/json/1513827665_8_prb14047_7_.json,6,3,5,4,4,4,7,0,1,0.8,2.0
prb46224,../psiturk-rushhour/static/json/1509584718_51_prb46224_11_.json,6,3,4,5,8,11,11,1,5,1.22222222222,2.75
prb57223,../psiturk-rushhour/static/json/1509629349_75_prb57223_16_.json,6,3,5,4,9,16,16,1,7,1.6,3.22222222222
prb32695,../psiturk-rushhour/static/json/1513869482_88_prb32695_7_.json,6,3,7,2,5,6,7,1,4,1.0,2.4
prb62222,../psiturk-rushhour/static/json/1509643572_34_prb62222_11_.json,6,3,5,4,6,6,11,0,1,0.857142857143,2.0
prb68910,../psiturk-rushhour/static/json/1509674597_71_prb68910_11_.json,6,3,5,4,9,14,11,1,6,1.4,3.0
prb11647,../psiturk-rushhour/static/json/1513826378_33_prb11647_7_.json,6,3,4,5,6,6,7,0,1,0.857142857143,1.33333333333
prb28111,../psiturk-rushhour/static/json/1513867497_06_prb28111_7_.json,6,3,4,5,6,7,7,1,4,1.0,2.16666666667
prb47495,../psiturk-rushhour/static/json/1509586671_28_prb47495_14_.json,6,3,5,4,8,10,14,0,1,1.11111111111,1.875
prb9718,../psiturk-rushhour/static/json/1509463497_52_prb9718_11_.json,6,3,4,5,8,12,11,1,5,1.33333333333,2.625
prb34551,../psiturk-rushhour/static/json/1509556959_89_prb34551_14_.json,6,3,7,2,7,9,14,1,4,1.125,2.28571428571
prb15595,../psiturk-rushhour/static/json/1509474295_6_prb15595_16_.json,6,3,3,6,9,16,16,1,8,1.6,2.88888888889
prb55384,../psiturk-rushhour/static/json/1509613502_21_prb55384_14_.json,6,3,5,4,8,11,14,1,6,1.22222222222,2.125
prb2834,../psiturk-rushhour/static/json/1513821021_88_prb2834_7_.json,6,3,5,4,6,6,7,0,1,0.857142857143,1.5
prb20888,../psiturk-rushhour/static/json/1509488403_92_prb20888_14_.json,6,3,4,5,4,4,14,0,1,0.8,1.5
prb24406,../psiturk-rushhour/static/json/1509500314_43_prb24406_16_.json,6,3,6,3,5,6,16,0,1,1.0,1.6
prb8786,../psiturk-rushhour/static/json/1513824636_72_prb8786_7_.json,6,3,4,5,6,7,7,1,4,1.0,2.16666666667
prb14651,../psiturk-rushhour/static/json/1513827972_64_prb14651_7_.json,6,3,3,6,7,10,7,0,1,1.25,2.42857142857
prb10166,../psiturk-rushhour/static/json/1509464472_82_prb10166_16_.json,6,3,6,3,9,14,16,1,6,1.4,2.88888888889
prb79230,../psiturk-rushhour/static/json/1509724768_91_prb79230_11_.json,6,3,5,4,9,11,11,1,4,1.1,2.66666666667
prb19279,../psiturk-rushhour/static/json/1509481067_13_prb19279_14_.json,6,3,5,4,6,7,14,0,1,1.0,1.83333333333
prb62015,../psiturk-rushhour/static/json/1509643264_96_prb62015_11_.json,6,3,3,6,6,10,11,1,4,1.11111111111,2.83333333333
prb6671,../psiturk-rushhour/static/json/1509457858_6_prb6671_14_.json,6,3,7,2,6,9,14,1,4,1.125,2.33333333333
prb21272,../psiturk-rushhour/static/json/1513857327_3_prb21272_7_.json,6,3,4,5,9,16,7,1,7,1.6,3.0
prb15290,../psiturk-rushhour/static/json/1513828263_06_prb15290_7_.json,6,3,6,3,6,6,7,0,1,0.857142857143,2.0
prb44171,../psiturk-rushhour/static/json/1509577648_29_prb44171_16_.json,6,3,6,3,9,12,16,1,4,1.2,2.33333333333
prb14485,../psiturk-rushhour/static/json/1509472355_7_prb14485_14_.json,6,3,5,4,7,9,14,1,4,1.125,2.42857142857
prb29600,../psiturk-rushhour/static/json/1509547500_78_prb29600_14_.json,6,3,6,3,9,12,14,1,6,1.2,2.0
prb33117,../psiturk-rushhour/static/json/1509554623_5_prb33117_14_.json,6,3,5,4,6,7,14,0,1,1.0,2.16666666667
