instance,jsonfile,number_of_optimal_plans,number_of_unsafe_moves,number_of_unsafe_edges,node_decrease_rate,edge_decrease_rate,change_in_heuristic_value
prb54081,../psiturk-rushhour/static/json/1509606178_29_prb54081_11_.json,999,2,999,999,999,999
prb29232,../psiturk-rushhour/static/json/1513867973_45_prb29232_7_.json,999,0,999,999,999,999
prb78361,../psiturk-rushhour/static/json/1509722874_99_prb78361_16_.json,999,6,999,999,999,999
prb1707,../psiturk-rushhour/static/json/1513820498_74_prb1707_7_.json,999,2,999,999,999,999
prb65535,../psiturk-rushhour/static/json/1509653121_81_prb65535_14_.json,999,2,999,999,999,999
prb29027,../psiturk-rushhour/static/json/1509546793_06_prb29027_16_.json,999,8,999,999,999,999
prb343,../psiturk-rushhour/static/json/1509419634_45_prb343_14_.json,999,5,999,999,999,999
prb14898,../psiturk-rushhour/static/json/1509473159_82_prb14898_11_.json,999,1,999,999,999,999
prb38725,../psiturk-rushhour/static/json/1509567550_91_prb38725_14_.json,999,6,999,999,999,999
prb48146,../psiturk-rushhour/static/json/1509587761_38_prb48146_16_.json,999,5,999,999,999,999
prb72800,../psiturk-rushhour/static/json/1509682764_39_prb72800_14_.json,999,4,999,999,999,999
prb3217,../psiturk-rushhour/static/json/1509424444_59_prb3217_11_.json,999,5,999,999,999,999
prb32795,../psiturk-rushhour/static/json/1513869514_34_prb32795_7_.json,999,0,999,999,999,999
prb20059,../psiturk-rushhour/static/json/1513854869_31_prb20059_7_.json,999,0,999,999,999,999
prb25604,../psiturk-rushhour/static/json/1509502982_46_prb25604_16_.json,999,5,999,999,999,999
prb12715,../psiturk-rushhour/static/json/1509469458_44_prb12715_11_.json,999,2,999,999,999,999
prb26567,../psiturk-rushhour/static/json/1513866786_91_prb26567_7_.json,999,0,999,999,999,999
prb23404,../psiturk-rushhour/static/json/1509493367_95_prb23404_14_.json,999,5,999,999,999,999
prb22436,../psiturk-rushhour/static/json/1509491261_94_prb22436_11_.json,999,5,999,999,999,999
prb58853,../psiturk-rushhour/static/json/1509637056_7_prb58853_16_.json,999,9,999,999,999,999
prb38526,../psiturk-rushhour/static/json/1509566883_54_prb38526_11_.json,999,2,999,999,999,999
prb1267,../psiturk-rushhour/static/json/1509420986_61_prb1267_16_.json,999,6,999,999,999,999
prb29414,../psiturk-rushhour/static/json/1509547223_69_prb29414_11_.json,999,5,999,999,999,999
prb54506,../psiturk-rushhour/static/json/1509609106_11_prb54506_16_.json,999,8,999,999,999,999
prb3203,../psiturk-rushhour/static/json/1509424438_88_prb3203_14_.json,999,6,999,999,999,999
prb717,../psiturk-rushhour/static/json/1509411897_18_prb717_11_.json,999,2,999,999,999,999
prb12604,../psiturk-rushhour/static/json/1513826908_9_prb12604_7_.json,999,1,999,999,999,999
prb25861,../psiturk-rushhour/static/json/1509503581_83_prb25861_16_.json,999,8,999,999,999,999
prb24227,../psiturk-rushhour/static/json/1509495640_06_prb24227_16_.json,999,7,999,999,999,999
prb68514,../psiturk-rushhour/static/json/1509673998_59_prb68514_14_.json,999,5,999,999,999,999
prb34092,../psiturk-rushhour/static/json/1509556026_72_prb34092_11_.json,999,1,999,999,999,999
prb45893,../psiturk-rushhour/static/json/1509584113_26_prb45893_16_.json,999,7,999,999,999,999
prb33509,../psiturk-rushhour/static/json/1509555087_12_prb33509_11_.json,999,1,999,999,999,999
prb46580,../psiturk-rushhour/static/json/1509585227_74_prb46580_16_.json,999,6,999,999,999,999
prb31907,../psiturk-rushhour/static/json/1509552512_39_prb31907_11_.json,999,1,999,999,999,999
prb10206,../psiturk-rushhour/static/json/1513825402_91_prb10206_7_.json,999,0,999,999,999,999
prb13171,../psiturk-rushhour/static/json/1513827210_11_prb13171_7_.json,999,0,999,999,999,999
prb42959,../psiturk-rushhour/static/json/1509575509_8_prb42959_11_.json,999,5,999,999,999,999
prb23259,../psiturk-rushhour/static/json/1513865343_0_prb23259_7_.json,999,1,999,999,999,999
prb29585,../psiturk-rushhour/static/json/1509547485_18_prb29585_14_.json,999,6,999,999,999,999
prb46639,../psiturk-rushhour/static/json/1509585277_63_prb46639_16_.json,999,9,999,999,999,999
prb14047,../psiturk-rushhour/static/json/1513827665_8_prb14047_7_.json,999,3,999,999,999,999
prb46224,../psiturk-rushhour/static/json/1509584718_51_prb46224_11_.json,999,2,999,999,999,999
prb57223,../psiturk-rushhour/static/json/1509629349_75_prb57223_16_.json,999,8,999,999,999,999
prb32695,../psiturk-rushhour/static/json/1513869482_88_prb32695_7_.json,999,0,999,999,999,999
prb62222,../psiturk-rushhour/static/json/1509643572_34_prb62222_11_.json,999,3,999,999,999,999
prb68910,../psiturk-rushhour/static/json/1509674597_71_prb68910_11_.json,999,7,999,999,999,999
prb11647,../psiturk-rushhour/static/json/1513826378_33_prb11647_7_.json,999,0,999,999,999,999
prb28111,../psiturk-rushhour/static/json/1513867497_06_prb28111_7_.json,999,0,999,999,999,999
prb47495,../psiturk-rushhour/static/json/1509586671_28_prb47495_14_.json,999,4,999,999,999,999
prb9718,../psiturk-rushhour/static/json/1509463497_52_prb9718_11_.json,999,5,999,999,999,999
prb34551,../psiturk-rushhour/static/json/1509556959_89_prb34551_14_.json,999,5,999,999,999,999
prb15595,../psiturk-rushhour/static/json/1509474295_6_prb15595_16_.json,999,6,999,999,999,999
prb55384,../psiturk-rushhour/static/json/1509613502_21_prb55384_14_.json,999,3,999,999,999,999
prb2834,../psiturk-rushhour/static/json/1513821021_88_prb2834_7_.json,999,0,999,999,999,999
prb20888,../psiturk-rushhour/static/json/1509488403_92_prb20888_14_.json,999,6,999,999,999,999
prb24406,../psiturk-rushhour/static/json/1509500314_43_prb24406_16_.json,999,5,999,999,999,999
prb8786,../psiturk-rushhour/static/json/1513824636_72_prb8786_7_.json,999,0,999,999,999,999
prb14651,../psiturk-rushhour/static/json/1513827972_64_prb14651_7_.json,999,0,999,999,999,999
prb10166,../psiturk-rushhour/static/json/1509464472_82_prb10166_16_.json,999,10,999,999,999,999
prb79230,../psiturk-rushhour/static/json/1509724768_91_prb79230_11_.json,999,1,999,999,999,999
prb19279,../psiturk-rushhour/static/json/1509481067_13_prb19279_14_.json,999,3,999,999,999,999
prb62015,../psiturk-rushhour/static/json/1509643264_96_prb62015_11_.json,999,3,999,999,999,999
prb6671,../psiturk-rushhour/static/json/1509457858_6_prb6671_14_.json,999,5,999,999,999,999
prb21272,../psiturk-rushhour/static/json/1513857327_3_prb21272_7_.json,999,3,999,999,999,999
prb15290,../psiturk-rushhour/static/json/1513828263_06_prb15290_7_.json,999,0,999,999,999,999
prb44171,../psiturk-rushhour/static/json/1509577648_29_prb44171_16_.json,999,6,999,999,999,999
prb14485,../psiturk-rushhour/static/json/1509472355_7_prb14485_14_.json,999,4,999,999,999,999
prb29600,../psiturk-rushhour/static/json/1509547500_78_prb29600_14_.json,999,6,999,999,999,999
prb33117,../psiturk-rushhour/static/json/1509554623_5_prb33117_14_.json,999,7,999,999,999,999
