subject, instance, optimal_length, human_length, complete, rt
andra.log, Jam-2, 8, 11, True, 86.1199998856
andra.log, Jam-3, 14, 51, True, 749.950000048
andra.log, Jam-1, 8, 13, True, 78.5600001812
andra.log, Jam-6, 9, 20, True, 85.8099999428
andra.log, Jam-7, 13, 24, True, 203.619999886
andra.log, Jam-4, 9, 12, True, 100.150000095
andra.log, Jam-5, 9, 15, True, 130.069999933
andra.log, Jam-8, 12, 16, True, 80.8099999428
andra.log, Jam-9, 12, 13, True, 59.2599999905
andra.log, Jam-10, 17, 65, True, 363.410000086
gianni.log, Jam-2, 8, 9, True, 66.3599998951
gianni.log, Jam-3, 14, 4, False, 56.9200000763
gianni.log, Jam-3, 14, 4, False, 49.5399999619
gianni.log, Jam-3, 14, 8, False, 23.1799998283
gianni.log, Jam-3, 14, 3, False, 6.98000001907
gianni.log, Jam-3, 14, 4, False, 8.99000000954
gianni.log, Jam-3, 14, 9, False, 26.6600000858
gianni.log, Jam-3, 14, 5, False, 20.3600001335
gianni.log, Jam-3, 14, 16, True, 55.3899998665
gianni.log, Jam-1, 8, 9, True, 50.6500000954
gianni.log, Jam-6, 9, 10, True, 27.2200000286
gianni.log, Jam-7, 13, 8, False, 39.0699999332
gianni.log, Jam-7, 13, 10, False, 38.9700000286
gianni.log, Jam-7, 13, 14, True, 35.9499998093
gianni.log, Jam-4, 9, 10, True, 28.9700000286
gianni.log, Jam-5, 9, 5, False, 18.4099998474
gianni.log, Jam-5, 9, 10, True, 21.629999876
gianni.log, Jam-8, 12, 2, False, 5.23000001907
gianni.log, Jam-8, 12, 14, True, 62.7699999809
gianni.log, Jam-9, 12, 1, False, 0.0
gianni.log, Jam-9, 12, 13, True, 40.0199999809
gianni.log, Jam-10, 17, 3, False, 16.8200001717
gianni.log, Jam-10, 17, 23, True, 79.7400000095
gianni.log, Jam-13, 16, 21, False, 94.0099999905
gianni.log, Jam-13, 16, 23, False, 79.8199999332
gianni.log, Jam-13, 16, 3, False, 22.6900000572
gianni.log, Jam-13, 16, 11, False, 64.7400000095
gianni.log, Jam-13, 16, 17, False, 47.2900002003
gianni.log, Jam-13, 16, 24, False, 73.25
gianni.log, Jam-13, 16, 17, True, 42.0399999619
gianni.log, Jam-12, 17, 5, False, 22.8699998856
gianni.log, Jam-12, 17, 19, True, 53.4600000381
gianni.log, Jam-11, 25, 6, False, 24.2299997807
gianni.log, Jam-11, 25, 6, False, 33.2999999523
gianni.log, Jam-11, 25, 6, False, 11.9700000286
gianni.log, Jam-11, 25, 5, False, 41.5900001526
gianni.log, Jam-11, 25, 14, False, 39.5500001907
gianni.log, Jam-11, 25, 13, False, 53.7100000381
gianni.log, Jam-11, 25, 7, False, 14.7400000095
gianni.log, Jam-11, 25, 31, True, 97.0399999619
long.log, Jam-2, 8, 13, True, 142.760000229
long.log, Jam-3, 14, 18, False, 307.819999933
long.log, Jam-3, 14, 25, True, 288.24000001
long.log, Jam-1, 8, 9, True, 111.769999981
long.log, Jam-6, 9, 14, True, 80.5099999905
long.log, Jam-7, 13, 17, True, 142.5
long.log, Jam-4, 9, 10, True, 56.8200001717
long.log, Jam-5, 9, 10, True, 57.9499998093
long.log, Jam-8, 12, 15, True, 119.179999828
long.log, Jam-9, 12, 21, True, 189.619999886
long.log, Jam-10, 17, 24, False, 226.909999847
long.log, Jam-10, 17, 80, True, 771.149999857
maija.log, Jam-21, 21, 29, True, 51.4900000095
maija.log, Jam-20, 10, 28, False, 58.5
maija.log, Jam-20, 10, 11, True, 31.0199999809
maija.log, Jam-23, 29, 28, False, 59.5199999809
maija.log, Jam-23, 29, 37, True, 88.5899999142
maija.log, Jam-22, 26, 32, True, 65.3500001431
maija.log, Jam-2, 8, 15, True, 52.4399998188
maija.log, Jam-3, 14, 23, True, 70.4700000286
maija.log, Jam-1, 8, 9, True, 23.9900000095
maija.log, Jam-6, 9, 10, True, 30.2400000095
maija.log, Jam-7, 13, 19, True, 47.0399999619
maija.log, Jam-4, 9, 12, True, 37.8999998569
maija.log, Jam-5, 9, 10, True, 28.3499999046
maija.log, Jam-8, 12, 21, True, 51.1300001144
maija.log, Jam-9, 12, 13, True, 37.6700000763
maija.log, Jam-14, 17, 21, True, 62.5699999332
maija.log, Jam-15, 23, 25, True, 59.0799999237
maija.log, Jam-16, 21, 31, False, 74.3199999332
maija.log, Jam-16, 21, 46, False, 140.409999847
maija.log, Jam-16, 21, 29, True, 70.0699999332
maija.log, Jam-17, 24, 33, True, 80.3399999142
maija.log, Jam-10, 17, 24, True, 91.8499999046
maija.log, Jam-11, 25, 37, True, 93.7200000286
maija.log, Jam-12, 17, 21, True, 58.0499999523
maija.log, Jam-13, 16, 44, False, 161.710000038
maija.log, Jam-13, 16, 32, True, 73.1099998951
maija.log, Jam-18, 25, 28, True, 52.7799999714
maija.log, Jam-19, 22, 26, True, 63.4000000954
weiji.log, Jam-2, 8, 9, True, 56.2899999619
weiji.log, Jam-3, 14, 15, True, 119.610000134
weiji.log, Jam-16, 21, 37, True, 118.360000134
weiji.log, Jam-1, 8, 9, True, 73.2899999619
weiji.log, Jam-6, 9, 11, True, 44.2200000286
weiji.log, Jam-7, 13, 15, True, 68.0899999142
weiji.log, Jam-4, 9, 10, True, 36.1400001049
weiji.log, Jam-5, 9, 10, True, 40.1000001431
weiji.log, Jam-14, 17, 30, True, 106.630000114
weiji.log, Jam-8, 12, 19, True, 133.940000057
weiji.log, Jam-9, 12, 15, True, 82.7400000095
weiji.log, Jam-17, 24, 28, True, 73.5800001621
weiji.log, Jam-10, 17, 24, True, 132.430000067
weiji.log, Jam-13, 16, 19, False, 109.99000001
weiji.log, Jam-13, 16, 28, True, 105.929999828
weiji.log, Jam-12, 17, 18, True, 60.4000000954
weiji.log, Jam-15, 23, 24, True, 100.9599998
weiji.log, Jam-11, 25, 15, False, 86.7400000095
weiji.log, Jam-11, 25, 36, True, 166.519999981
will.log, Jam-2, 8, 28, True, 80.3499999046
will.log, Jam-3, 14, 16, True, 60.9199998379
will.log, Jam-16, 21, 26, True, 110.730000019
will.log, Jam-1, 8, 9, True, 44.7999999523
will.log, Jam-6, 9, 13, True, 44.9199998379
will.log, Jam-7, 13, 14, True, 64.7600002289
will.log, Jam-4, 9, 10, True, 29.1300001144
will.log, Jam-5, 9, 10, True, 46.3299999237
will.log, Jam-14, 17, 18, True, 89.7300000191
will.log, Jam-8, 12, 10, False, 44.1500000954
will.log, Jam-8, 12, 10, False, 60.6600000858
will.log, Jam-8, 12, 1, False, 0.0
will.log, Jam-9, 12, 13, True, 47.4500000477
will.log, Jam-17, 24, 37, True, 141.519999981
will.log, Jam-10, 17, 16, False, 69.9000000954
will.log, Jam-10, 17, 28, True, 114.480000019
will.log, Jam-13, 16, 4, False, 81.7799999714
will.log, Jam-13, 16, 25, False, 85.0200002193
will.log, Jam-12, 17, 19, True, 79.2699999809
will.log, Jam-15, 23, 6, False, 80.6500000954
will.log, Jam-15, 23, 33, False, 86.5899999142
will.log, Jam-11, 25, 7, False, 50.9900000095
will.log, Jam-11, 25, 24, False, 107.390000105
will.log, Jam-11, 25, 1, False, 0.0
jenn.log, Jam-2, 8, 16, True, 88.2200000286
jenn.log, Jam-3, 14, 8, False, 38.1699998379
jenn.log, Jam-3, 14, 25, True, 158.779999971
jenn.log, Jam-1, 8, 15, True, 123.470000029
jenn.log, Jam-6, 9, 13, True, 54.8299999237
jenn.log, Jam-7, 13, 16, True, 136.75999999
jenn.log, Jam-4, 9, 10, True, 27.6100001335
jenn.log, Jam-5, 9, 11, True, 32.9600000381
jenn.log, Jam-8, 12, 13, True, 43.0699999332
jenn.log, Jam-9, 12, 13, True, 57.5399999619
jenn.log, Jam-10, 17, 2, False, 7.12999987602
jenn.log, Jam-10, 17, 29, True, 209.75
jenn.log, Jam-13, 16, 7, False, 138.879999876
jenn.log, Jam-13, 16, 75, True, 384.159999847
jenn.log, Jam-12, 17, 7, False, 29.4700000286
jenn.log, Jam-12, 17, 19, True, 144.859999895
jenn.log, Jam-11, 25, 24, False, 120.429999828
jenn.log, Jam-11, 25, 8, False, 42.8900001049
jenn.log, Jam-11, 25, 6, False, 52.8400001526

